market_id
STOCK_HOOD
STOCK_MVIS
STOCK_GME
STOCK_LMND
STOCK_FCEL
STOCK_CLOV
STOCK_VIAC
STOCK_CVNA
STOCK_UI
STOCK_SWI
STOCK_DKNG
STOCK_INO
STOCK_JBLU
STOCK_NKLA
STOCK_PLTR
STOCK_RKT
STOCK_SAVE
STOCK_SPCE
STOCK_SRNE
STOCK_SNOW
STOCK_PTON
STOCK_QS
STOCK_CPNG
STOCK_BBY
STOCK_RBLX
STOCK_ABNB
STOCK_DASH
STOCK_UPST
STOCK_POSH
STOCK_AFRM
